link_id,x,y,lat,lon,angle
13,526905.3014936973,4196414.662624455,37.914876866135906,-122.69390599680324,12.284791772488745
13,526907.426487463,4196424.535603892,37.91496578745368,-122.693881452906,12.284807288596369
13,526908.7412891492,4196433.276353487,37.915044528064094,-122.69386616846799,59.108806700334526
13,526917.1761124108,4196438.341116154,37.91508992662907,-122.69377001967138,61.56532426483824
13,526926.0494555905,4196443.163470588,37.91513312732819,-122.69366889094846,61.56538684063253
13,526934.9227987698,4196447.985825023,37.9151763279396,-122.6935677621077,61.565449434073116
13,526943.6211700295,4196452.72527861,37.91521878647067,-122.69346862683872,67.9247744860516
13,526952.9377367197,4196456.523795992,37.915252746029054,-122.69336249368236,68.86820880868777
13,526962.3508124549,4196460.182392263,37.91528544153444,-122.69325526771814,68.86827511986797
13,526971.7638881903,4196463.840988534,37.91531813694153,-122.69314804165957,68.86834142475215
13,526981.1769639255,4196467.499584804,37.91535083225034,-122.69304081550665,68.86840773901355
13,526990.5900396608,4196471.158181075,37.91538352746086,-122.69293358925938,68.86847403521762
13,527000.003115396,4196474.816777346,37.91541622257311,-122.69282636291776,68.86854034574247
13,527009.4161911313,4196478.475373616,37.91544891758707,-122.69271913648178,68.86860665252476
13,527018.8292668667,4196482.133969887,37.915481612502745,-122.69261190995147,68.86867294244479
13,527028.2423426019,4196485.792566159,37.91551430732016,-122.6925046833268,68.86873926048457
13,527037.6554183371,4196489.4511624295,37.91554700203927,-122.6923974566078,68.8688055729076
13,527047.0684940724,4196493.1097587,37.91557969666008,-122.69229022979444,68.8688718791978
13,527056.4815698076,4196496.768354971,37.91561239118263,-122.69218300288671,68.86893818720512
13,527065.894645543,4196500.426951242,37.915645085606876,-122.69207577588465,68.86900449214903
13,527075.3077212782,4196504.085547512,37.91567777993284,-122.69196854878824,68.86900449214903
14,526956.3266840463,4195053.080936854,37.90260354054814,-122.6933764380429,341.4353529544452
14,526952.8663769135,4195063.23068819,37.90269512197414,-122.69341541841158,341.4353293013567
14,526949.4060697807,4195073.380439527,37.90278670338623,-122.69345439887616,341.43530563790637
14,526946.0392140362,4195082.9894442875,37.90287340831072,-122.69349233666743,359.4064041683495
14,526945.6280932563,4195092.202824337,37.902956459944974,-122.69349666864159,32.45282215085837
14,526950.4864537567,4195100.195513683,37.903028353496666,-122.69344110726026,58.39272338431442
14,526959.611155264,4195105.828541294,37.903078853155314,-122.69333710544551,58.39278777259585
14,526968.7358567715,4195111.461568903,37.90312935272099,-122.693233103489,58.39285214124243
14,526977.8605582786,4195117.094596514,37.90317985219374,-122.69312910139077,58.39291651818195
14,526986.985259786,4195122.727624123,37.90323035157354,-122.69302509915077,58.39291651818195
15,526985.1467003953,4195125.705828174,37.903257248425525,-122.69304590085301,238.3929678050372
15,526976.0219988878,4195120.072800565,37.90320674902768,-122.6931499031169,238.3929034197925
15,526966.8972973806,4195114.439772954,37.903156249536885,-122.69325390523903,238.39283904794596
15,526957.7725958731,4195108.806745345,37.90310574995315,-122.69335790721942,238.39277467445518
15,526948.0891626887,4195102.62162285,37.903050290840824,-122.69346828512973,212.45283974458232
15,526942.4002458719,4195093.115874612,37.90296478479623,-122.69353335041329,179.4063790822247
15,526942.6329934007,4195082.4007839775,37.9028682036486,-122.6935311034731,161.435258575906
15,526946.0933005335,4195072.251032641,37.902776622262586,-122.693492122871,161.43528223703913
15,526949.5536076663,4195062.101281304,37.902685040862664,-122.69345314236483,161.43530588510953
15,526953.0139147991,4195051.951529968,37.90259345944882,-122.69341416195455,161.43530588510953
16,525781.5138544837,4194955.656201679,37.90175951051182,-122.70674305085195,324.8302698957655
16,525775.5821796696,4194963.983494853,37.90183473192217,-122.70681022329933,324.83022876391885
16,525769.6505048556,4194972.310788026,37.9019099532938,-122.7068773958832,324.83018762993447
16,525763.7188300415,4194980.6380812,37.90198517462671,-122.70694456860356,324.8301464972383
16,525757.7871552275,4194988.965374374,37.90206039592088,-122.7070117414604,324.8301053521342
16,525751.8554804134,4194997.292667547,37.90213561717629,-122.70707891445375,324.8300642311283
16,525745.9238055993,4195005.619960721,37.902210838393,-122.70714608758358,324.83002308288934
16,525739.9921307852,4195013.947253894,37.902286059570955,-122.70721326084991,324.8299819541858
16,525734.0604559712,4195022.274547068,37.902361280710196,-122.70728043425274,324.8299408130782
16,525728.1287811571,4195030.601840242,37.90243650181068,-122.70734760779206,324.8298996743919
16,525722.1971063431,4195038.929133415,37.90251172287244,-122.70741478146789,324.82985854726377
16,525716.265431529,4195047.256426589,37.90258694389547,-122.7074819552802,324.82981739973906
16,525710.333756715,4195055.583719763,37.90266216487976,-122.70754912922902,324.82977626148363
16,525704.4020819009,4195063.911012936,37.90273738582531,-122.70761630331435,324.8297351279421
16,525698.4704070868,4195072.23830611,37.90281260673212,-122.70768347753616,324.82969400138836
16,525692.5387322727,4195080.565599283,37.9028878276002,-122.70775065189446,324.82965284530513
16,525686.6070574587,4195088.892892457,37.90296304842954,-122.70781782638929,324.8296117156128
16,525680.6753826446,4195097.220185631,37.903038269220154,-122.70788500102061,324.8295705849308
16,525674.7437078306,4195105.547478804,37.90311348997202,-122.7079521757884,324.8295294258527
16,525668.8120330165,4195113.874771978,37.90318871068514,-122.70801935069275,324.8295294258527
17,525665.9613142242,4195111.844155724,37.90317048931257,-122.70805184930326,144.8294682182019
17,525671.8929890383,4195103.516862551,37.90309526861769,-122.70798467438219,144.82950935684607
17,525677.8246638523,4195095.189569377,37.90302004788407,-122.70791749959761,144.82955048993028
17,525683.7563386664,4195086.862276203,37.90294482711171,-122.70785032494953,144.82959164826474
17,525689.6880134804,4195078.53498303,37.90286960630061,-122.70778315043799,144.82963276337375
17,525695.6196882945,4195070.207689856,37.90279438545078,-122.7077159760629,144.82967391628824
17,525701.5513631086,4195061.880396683,37.9027191645622,-122.70764880182433,144.829715036251
17,525707.4830379226,4195053.553103509,37.9026439436349,-122.70758162772223,144.82975618945648
17,525713.4147127367,4195045.225810335,37.90256872266886,-122.70751445375667,144.82979732111727
