eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
109,15,100,residential,1,1900.0,25.0,20.1389564568196,225.06656746557442,"LINESTRING (525667.3866736203 4195112.859463851, 525550.968655685 4195029.060188161, 525486.44583068 4194978.87565606)"
110,15,30,residential,1,1900.0,25.0,13.160813239809842,147.08105989952884,"LINESTRING (525667.3866736203 4195112.859463851, 525730.7591174043 4195159.147432779, 525786.6077538605 4195199.13236662)"
111,30,15,residential,1,1900.0,25.0,13.160813239809842,147.08105989952884,"LINESTRING (525786.6077538605 4195199.13236662, 525730.7591174043 4195159.147432779, 525667.3866736203 4195112.859463851)"
112,30,121,residential,1,1900.0,25.0,6.536509968527568,73.04995494554724,"LINESTRING (525786.6077538605 4195199.13236662, 525846.1670210862 4195241.503751592)"
113,121,30,residential,1,1900.0,25.0,6.536509968527568,73.04995494554724,"LINESTRING (525846.1670210862 4195241.503751592, 525786.6077538605 4195199.13236662)"
114,121,118,residential,1,1900.0,25.0,20.136549262665373,225.03966542987675,"LINESTRING (525846.1670210862 4195241.503751592, 525939.7551777289 4195309.269074556, 526028.8972876975 4195373.071485796)"
115,118,121,residential,1,1900.0,25.0,20.136549262665373,225.03966542987675,"LINESTRING (526028.8972876975 4195373.071485796, 525939.7551777289 4195309.269074556, 525846.1670210862 4195241.503751592)"
116,118,113,residential,1,1900.0,25.0,6.749573121453155,75.43108092817562,"LINESTRING (526028.8972876975 4195373.071485796, 526090.7191830591 4195416.372763413)"
117,113,118,residential,1,1900.0,25.0,6.749573121453155,75.43108092817562,"LINESTRING (526090.7191830591 4195416.372763413, 526028.8972876975 4195373.071485796)"
118,113,240,residential,1,1900.0,25.0,6.443530011007093,72.01084053427685,"LINESTRING (526090.7191830591 4195416.372763413, 526149.6187472013 4195457.878869746)"
119,240,113,residential,1,1900.0,25.0,6.443530011007093,72.01084053427685,"LINESTRING (526149.6187472013 4195457.878869746, 526090.7191830591 4195416.372763413)"
120,240,254,residential,1,1900.0,25.0,6.5633591717835325,73.3500130954798,"LINESTRING (526149.6187472013 4195457.878869746, 526209.7642475127 4195499.944149205)"
121,254,240,residential,1,1900.0,25.0,6.5633591717835325,73.3500130954798,"LINESTRING (526209.7642475127 4195499.944149205, 526149.6187472013 4195457.878869746)"
122,254,85,residential,1,1900.0,25.0,6.490465829248745,72.53538030005302,"LINESTRING (526209.7642475127 4195499.944149205, 526268.2005813975 4195542.980777268)"
123,85,254,residential,1,1900.0,25.0,6.490465829248745,72.53538030005302,"LINESTRING (526268.2005813975 4195542.980777268, 526209.7642475127 4195499.944149205)"
124,85,108,residential,1,1900.0,25.0,6.73754863876371,75.2966991368318,"LINESTRING (526268.2005813975 4195542.980777268, 526328.9433980734 4195587.545277543)"
125,108,85,residential,1,1900.0,25.0,6.73754863876371,75.2966991368318,"LINESTRING (526328.9433980734 4195587.545277543, 526268.2005813975 4195542.980777268)"
126,108,107,residential,1,1900.0,25.0,6.332556985459045,70.77064132162545,"LINESTRING (526328.9433980734 4195587.545277543, 526386.461027059 4195628.848965349)"
127,107,108,residential,1,1900.0,25.0,6.332556985459045,70.77064132162545,"LINESTRING (526386.461027059 4195628.848965349, 526328.9433980734 4195587.545277543)"
128,107,106,residential,1,1900.0,25.0,6.8079811231918,76.08383016530844,"LINESTRING (526386.461027059 4195628.848965349, 526450.086001916 4195670.672050958)"
129,106,107,residential,1,1900.0,25.0,6.8079811231918,76.08383016530844,"LINESTRING (526450.086001916 4195670.672050958, 526386.461027059 4195628.848965349)"
130,98,16,residential,1,1900.0,25.0,37.12798456578791,414.9305382855153,"LINESTRING (527731.4697932996 4195397.215947352, 527720.884818287 4195394.761396939, 527708.3787812638 4195398.868724461, 527708.2244359619 4195426.328818004, 527705.5737062494 4195456.310181245, 527696.2046560361 4195468.671861418, 527693.0497568372 4195481.365206557, 527692.3009371698 4195502.65436442, 527687.3766330148 4195513.466646849, 527678.7306604304 4195525.198362953, 527675.5125763788 4195540.998158134, 527670.0853669954 4195552.363513446, 527661.4957951251 4195550.004534264, 527662.115544884 4195530.467978797, 527670.3147271402 4195497.431954797, 527663.7452178046 4195464.346092009, 527650.9538085419 4195375.863120062, 527656.3224541834 4195361.035855478, 527668.7780389504 4195351.047824055, 527666.9748192622 4195340.93401473)"
131,23,16,residential,1,1900.0,25.0,5.984203324020531,66.8775516765817,"LINESTRING (527600.170268653 4195335.871342263, 527639.9071864784 4195338.224250412, 527666.9748192622 4195340.93401473)"
132,16,23,residential,1,1900.0,25.0,5.984203324020531,66.8775516765817,"LINESTRING (527666.9748192622 4195340.93401473, 527639.9071864784 4195338.224250412, 527600.170268653 4195335.871342263)"
133,34,35,residential,1,1900.0,25.0,3.725341475866175,41.63323061987232,"LINESTRING (526159.0835912091 4194552.232292172, 526182.5710890595 4194517.901140955)"
134,35,34,residential,1,1900.0,25.0,3.725341475866175,41.63323061987232,"LINESTRING (526182.5710890595 4194517.901140955, 526159.0835912091 4194552.232292172)"
135,35,36,residential,1,1900.0,25.0,9.354910337450127,104.54750041853069,"LINESTRING (526182.5710890595 4194517.901140955, 526242.7356103238 4194432.505347974)"
136,36,35,residential,1,1900.0,25.0,9.354910337450127,104.54750041853069,"LINESTRING (526242.7356103238 4194432.505347974, 526182.5710890595 4194517.901140955)"
137,146,161,residential,1,1900.0,25.0,8.053243146426764,90.00048219073273,"LINESTRING (526072.8991309013 4194678.376140099, 526122.4954850831 4194603.375325355)"
138,161,146,residential,1,1900.0,25.0,8.053243146426764,90.00048219073273,"LINESTRING (526122.4954850831 4194603.375325355, 526072.8991309013 4194678.376140099)"
139,115,50,residential,1,1900.0,25.0,5.7301254067828635,64.03805774232077,"LINESTRING (531414.9429774034 4194947.309871576, 531409.6047312636 4194938.579659423, 531397.5514149786 4194922.500878764, 531384.5621136986 4194909.76929568, 531371.8658315714 4194900.866711497)"
140,50,115,residential,1,1900.0,25.0,5.7301254067828635,64.03805774232077,"LINESTRING (531371.8658315714 4194900.866711497, 531384.5621136986 4194909.76929568, 531397.5514149786 4194922.500878764, 531409.6047312636 4194938.579659423, 531414.9429774034 4194947.309871576)"
141,166,169,residential,1,1900.0,25.0,3.027403781901668,33.83330109411788,"LINESTRING (530605.4096787622 4195189.963239224, 530588.3754186728 4195160.774690459)"
142,169,166,residential,1,1900.0,25.0,3.027403781901668,33.83330109411788,"LINESTRING (530588.3754186728 4195160.774690459, 530605.4096787622 4195189.963239224)"
143,212,124,residential,1,1900.0,25.0,17.306628317177346,193.4133696600061,"LINESTRING (526903.8708737176 4195034.486148245, 526792.634611712 4195192.516732397)"
144,124,212,residential,1,1900.0,25.0,17.306628317177346,193.4133696600061,"LINESTRING (526792.634611712 4195192.516732397, 526903.8708737176 4195034.486148245)"
